Date,BTC_usd,BTC_Volume
2016-08-03,548.656006,207982000
2016-08-04,566.328979,125292000
2016-08-05,578.281006,66127900
2016-08-06,575.030029,80797296
2016-08-07,587.770996,82398400
2016-08-08,592.736023,61194100
2016-08-09,591.038025,92228096
2016-08-10,587.64801,102905000
2016-08-11,592.124023,74514400
2016-08-12,588.797974,69218000
2016-08-13,587.356995,43563000
2016-08-14,585.588989,60851100
2016-08-15,570.494019,57262300
2016-08-16,567.242981,58405200
2016-08-17,577.760986,54443000
2016-08-18,573.70697,59896600
2016-08-19,574.338989,50631600
2016-08-20,576.083984,45301400
2016-08-21,581.939026,38299400
2016-08-22,581.310974,72844000
2016-08-23,586.770996,85349200
2016-08-24,583.411987,56328200
2016-08-25,580.179993,136130000
2016-08-26,577.752991,48856800
2016-08-27,579.452026,59698300
2016-08-28,569.830017,86301600
2016-08-29,574.070984,110398000
2016-08-30,574.114014,70342400
2016-08-31,577.591003,75840896
2016-09-01,575.546021,76923400
2016-09-02,572.409973,79910800
2016-09-03,575.554993,159014000
2016-09-04,598.590027,97942896
2016-09-05,608.98999,82446800
2016-09-06,606.505981,78529104
2016-09-07,610.572998,75032400
2016-09-08,614.63501,86713000
2016-09-09,626.35199,64550200
2016-09-10,622.927002,45016800
2016-09-11,623.424011,73610800
2016-09-12,607.005005,72812304
2016-09-13,608.025024,86920600
2016-09-14,608.841003,47877700
2016-09-15,610.588013,59464600
2016-09-16,607.245972,64963400
2016-09-17,607.218018,37140300
2016-09-18,606.28302,48679400
2016-09-19,609.870972,54796400
2016-09-20,609.254028,72710896
2016-09-21,603.588013,82776200
2016-09-22,597.278992,67085300
2016-09-23,596.198975,51067000
2016-09-24,602.960999,35359500
2016-09-25,602.749023,33977800
2016-09-26,600.807007,59153800
2016-09-27,608.021973,49422400
2016-09-28,606.242981,48722600
2016-09-29,605.018982,55658600
2016-09-30,605.715027,56122400
2016-10-01,609.929016,56357000
2016-10-02,613.947998,39249800
2016-10-03,610.968018,46798300
