Date,NYSE_usd
2017-06-22,11704.12012
2017-06-23,11716.58008
2017-06-26,11761.4502
2017-06-27,11765.79981
2017-06-28,11771.13965
2017-06-29,11835.5
2017-06-30,11777.62988
2017-07-03,11801.44043
2017-07-05,11826.25
2017-07-06,11766.12988
2017-07-07,11713.66016
2017-07-10,11744.24023
2017-07-11,11748.23047
2017-07-12,11794.42969
2017-07-13,11832.78027
2017-07-14,11844.03027
2017-07-17,11894.69043
2017-07-18,11878.76953
2017-07-19,11894.33984
2017-07-20,11956.26953
2017-07-21,11944.5
2017-07-24,11918.53027
2017-07-25,11973.05957
2017-07-26,11983.75
2017-07-27,11977.88965
2017-07-28,11950.59961
2017-07-31,11976.20996
2017-08-01,12006.74023
2017-08-02,11979.09961
2017-08-03,11968.48047
2017-08-04,11982.03027
2017-08-07,11983.71973
2017-08-08,11987.76953
2017-08-09,11906.62988
2017-08-10,11889.28027
2017-08-11,11754.40039
2017-08-14,11820.17969
2017-08-15,11861.17969
2017-08-16,11868.17969
2017-08-17,11839.91016
2017-08-18,11702.00977
2017-08-21,11700.11035
2017-08-22,11743.41016
2017-08-23,11770.65039
2017-08-24,11806.88965
2017-08-25,11804.87988
2017-08-28,11831.01953
2017-08-29,11733.79981
2017-08-30,11783.37988
2017-08-31,11833.87988
2017-09-01,11897.96973
2017-09-05,11894.92969
2017-09-06,11859.32031
2017-09-07,11896.79981
2017-09-08,11873.99023
2017-09-11,11943.46973
2017-09-12,12029.79004
2017-09-13,12049.71973
2017-09-14,12042.54004
2017-09-15,12065.33008
2017-09-18,12094.83008
2017-09-19,12126.23047
2017-09-20,12137.49023
2017-09-21,12140.20996
2017-09-22,12134.4502
2017-09-25,12144.07031
2017-09-26,12142.05957
2017-09-27,12154.54981
2017-09-28,12147.61035
2017-09-29,12179.30957
2017-10-02,12209.16016
2017-10-03,12274.73047
2017-10-04,12298.11035
2017-10-05,12307.71973
2017-10-06,12314.61035
2017-10-09,12328.19043
2017-10-10,12329.65039
2017-10-11,12347.20996
2017-10-12,12342.15039
2017-10-13,12360.87012
2017-10-16,12365.99023
2017-10-17,12355.21973
2017-10-18,12371.29981
2017-10-19,12336.15039
2017-10-20,12407.98047
2017-10-23,12436.75977
2017-10-24,12405.96973
2017-10-25,12406.2002
2017-10-26,12362.83984
2017-10-27,12339.65039
2017-10-30,12349.36035
2017-10-31,12333.82031
2017-11-01,12383.87012
2017-11-02,12359.29004
2017-11-03,12361.01953
2017-11-06,12373.07031
2017-11-07,12398.79004
2017-11-08,12361.23047
2017-11-09,12326.32031
2017-11-10,12324.37988
2017-11-13,12281.19043
2017-11-14,12316.83008
2017-11-15,12222.08984
2017-11-16,12258.78027
2017-11-17,12281.28027
2017-11-20,12306.66016
2017-11-21,12352.57031
2017-11-22,12406.13965
2017-11-24,12423.7002
2017-11-27,12421.30957
2017-11-28,12412.15039
2017-11-29,12529.54981
2017-11-30,12596.34961
2017-12-01,12636.73047
2017-12-04,12685.78027
2017-12-05,12635.71973
2017-12-06,12550.16992
2017-12-07,12517.66992
2017-12-08,12605
2017-12-11,12653.09961
2017-12-12,12680.7002
2017-12-13,12709.05957
2017-12-14,12706.78027
2017-12-15,12650.08008
2017-12-18,12760.53027
2017-12-19,12803.17969
2017-12-20,12782.55957
2017-12-21,12771.20996
2017-12-22,12803.98047
2017-12-26,12794.12988
2017-12-27,12808.90039
2017-12-28,12839.54004
2017-12-29,12878.34961
2018-01-02,12860.92969
2018-01-03,12910.62988
2018-01-04,12999.53027
2018-01-05,13066.37012
2018-01-08,13096.65039
2018-01-09,13123.83008
2018-01-10,13108.23047
2018-01-11,13106.59961
2018-01-12,13240.95996
2018-01-16,13343.82031
2018-01-17,13282.48047
2018-01-18,13341.75977
2018-01-19,13342.95996
2018-01-22,13388.32031
2018-01-23,13461.87012
2018-01-24,13520.07031
2018-01-25,13548.87012
2018-01-26,13547.28027
2018-01-29,13592.79981
2018-01-30,13441.24023
2018-01-31,13416.83008
2018-02-01,13338.99023
2018-02-02,13294.34961
2018-02-05,12974.19043
2018-02-06,12386.83984
2018-02-07,12696.9502
2018-02-08,12701.87988
2018-02-09,12364.30957
2018-02-12,12496.34961
2018-02-13,12512.29981
2018-02-14,12515.49023
2018-02-15,12817.17969
2018-02-16,12826.90039
2018-02-20,12817.13965
2018-02-21,12777.36035
2018-02-22,12732.82031
2018-02-23,12766.12988
2018-02-26,12922.16016
2018-02-27,12986.94043
2018-02-28,12852.11035
2018-03-01,12644.42969
2018-03-02,12444.65039
2018-03-05,12498.4502
2018-03-06,12722.30957
2018-03-07,12634.04004
2018-03-08,12725.16016
2018-03-09,12802.13965
2018-03-12,12930.42969
2018-03-13,12938.5
2018-03-14,12874.51953
2018-03-15,12788.16016
2018-03-16,12752.69043
2018-03-19,12755.54981
2018-03-20,12663.25
2018-03-21,12663.66016
2018-03-22,12574.16016
2018-03-23,12413.61035
2018-03-26,12327.05957
2018-03-27,12466.38965
2018-03-28,12325.29004
2018-03-29,12356.19043
2018-04-02,12432.88965
2018-04-03,12274.25977
2018-04-04,12218.91016
2018-04-05,12512.41992
2018-04-06,12511.59961
2018-04-09,12412.94043
2018-04-10,12380.55957
2018-04-11,12509.38965
2018-04-12,12558.98047
2018-04-13,12580.21973
2018-04-16,12601.40039
2018-04-17,12680.38965
2018-04-18,12737.12988
2018-04-19,12714.61035
2018-04-20,12670.91992
2018-04-23,12618.07031
2018-04-24,12659.92969
2018-04-25,12491.42969
2018-04-26,12539.65039
2018-04-27,12567.66992
2018-04-30,12615.34961
2018-05-01,12490.24023
2018-05-02,12486.11035
2018-05-03,12395.46973
2018-05-04,12335.41016
2018-05-07,12493.34961
2018-05-08,12498.16016
2018-05-09,12565.23047
2018-05-10,12660.23047
2018-05-11,12748.91016
2018-05-14,12791.88965
2018-05-15,12711.87988
2018-05-16,12710.62988
2018-05-17,12741.54004
2018-05-18,12735.11035
2018-05-21,12771.57031
2018-05-22,12832.16992
2018-05-23,12701.58008
2018-05-24,12715.29981
2018-05-25,12646.58008
2018-05-29,12516.54981
2018-05-30,12514.33008
2018-05-31,12606.24023
2018-06-01,12596.67969
2018-06-04,12620.83008
2018-06-05,12673.91016
2018-06-06,12696.53027
2018-06-07,12797.92969
2018-06-08,12778.21973
2018-06-11,12845.08008
2018-06-12,12861.66016
2018-06-13,12856.15039
2018-06-14,12812.12988
2018-06-15,12727.38965
2018-06-18,12660.66992
2018-06-19,12708.62988
2018-06-20,12676.37012
2018-06-21,12620.40039
2018-06-22,12653.33984
2018-06-25,12584.9502
2018-06-26,12501.33984
2018-06-27,12528.44043
2018-06-28,12412.19043
2018-06-29,12537.19043
2018-07-02,12430.7002
2018-07-03,12542.33008
2018-07-05,12553.78027
2018-07-06,12578.86035
2018-07-09,12712.33008
2018-07-10,12795.45996
2018-07-11,12737.96973
2018-07-12,12746.71973
2018-07-13,12744.79981
2018-07-16,12758.51953
2018-07-17,12731.48047
2018-07-18,12786.25977
2018-07-19,12786.37012
2018-07-20,12778.21973
2018-07-23,12788.5
2018-07-24,12836.62988
2018-07-25,12836.36035
2018-07-26,12929.79004
2018-07-27,12967.37988
2018-07-30,12936.78027
2018-07-31,12903.42969
2018-08-01,12949.84961
2018-08-02,12818.58984
2018-08-03,12893.91992
2018-08-06,12939.76953
2018-08-07,13011.29981
2018-08-08,12995.91992
2018-08-09,12983.25
2018-08-10,12868.09961
2018-08-13,12836.65039
2018-08-14,12791.9502
2018-08-15,12752.5
2018-08-16,12784.75977
2018-08-17,12839.71973
2018-08-20,12930.15039
2018-08-21,12998.04004
2018-08-22,13007.57031
2018-08-23,12978.58984
2018-08-24,12968.82031
2018-08-27,13043.42969
2018-08-28,13125.33984
2018-08-29,13098.84961
2018-08-30,13094.78027
2018-08-31,13007.37012
2018-09-04,12976.04981
2018-09-05,12944.04981
2018-09-06,12960.20996
2018-09-07,12898.38965
2018-09-10,12952.08984
2018-09-11,12896.76953
2018-09-12,12952.30957
2018-09-13,13022.62988
2018-09-14,13042.37988
2018-09-17,13059.23047
2018-09-18,13044.92969
2018-09-19,13105.12988
2018-09-20,13183.66016
2018-09-21,13243.41992
2018-09-24,13235.20996
2018-09-25,13203.90039
2018-09-26,13164.82031
2018-09-27,13111.99023
2018-09-28,13071.40039
2018-10-01,13146.29981
2018-10-02,13108.74023
2018-10-03,13146.67969
2018-10-04,13089.23047
2018-10-05,13043.46973
2018-10-08,12955.69043
2018-10-09,12970.17969
2018-10-10,12952.12012
2018-10-11,12574.58984
2018-10-12,12485.24023
2018-10-15,12437.74023
2018-10-16,12425.67969
2018-10-17,12612.17969
2018-10-18,12570.66016
2018-10-19,12469.7002
