Date,Litecoin_usd
2017-05-25,34.469002
2017-05-26,30.3251
2017-05-27,23.403099
2017-05-28,24.007401
2017-05-29,24.3249
2017-05-30,25.318899
2017-05-31,24.293501
2017-06-01,25.343901
2017-06-02,28.897301
2017-06-03,29.036301
2017-06-04,27.650299
2017-06-05,28.09
2017-06-06,30.8407
2017-06-07,30.568701
2017-06-08,28.3813
2017-06-09,30.1873
2017-06-10,29.6845
2017-06-11,30.5009
2017-06-12,33.230499
2017-06-13,29.4916
2017-06-14,30.739
2017-06-15,30.215401
2017-06-16,30.2791
2017-06-17,36.183899
2017-06-18,47.4422
2017-06-19,46.161999
2017-06-20,50.409
2017-06-21,47.2952
2017-06-22,47.7188
2017-06-23,47.747799
2017-06-24,47.2467
2017-06-25,44.4907
2017-06-26,44.036999
2017-06-27,41.131302
2017-06-28,40.816002
2017-06-29,42.830101
2017-06-30,41.042999
2017-07-01,40.404099
2017-07-02,38.9492
2017-07-03,41.4785
2017-07-04,46.562599
2017-07-05,55.274899
2017-07-06,53.195499
2017-07-07,51.101501
2017-07-08,46.639301
2017-07-09,52.363701
2017-07-10,49.908798
2017-07-11,46.2742
2017-07-12,45.255901
2017-07-13,48.7234
2017-07-14,46.3592
2017-07-15,42.805302
2017-07-16,38.921001
2017-07-17,41.189201
2017-07-18,42.623001
2017-07-19,44.347401
2017-07-20,40.955399
2017-07-21,45.068501
2017-07-22,45.772999
2017-07-23,46.628201
2017-07-24,44.159599
2017-07-25,44.482899
2017-07-26,42.287998
2017-07-27,42.353199
2017-07-28,42.216202
2017-07-29,40.558899
2017-07-30,41.184502
2017-07-31,40.340302
2017-08-01,43.019299
2017-08-02,43.074902
2017-08-03,42.193001
2017-08-04,42.893501
2017-08-05,43.486
2017-08-06,46.845001
2017-08-07,45.1717
2017-08-08,45.898102
2017-08-09,48.5867
2017-08-10,48.0494
2017-08-11,46.4049
2017-08-12,47.050598
2017-08-13,46.568699
2017-08-14,45.832298
2017-08-15,45.813499
2017-08-16,43.371899
2017-08-17,44.178799
2017-08-18,43.897202
2017-08-19,47.054298
2017-08-20,45.376202
2017-08-21,46.1898
2017-08-22,47.895199
2017-08-23,46.7136
2017-08-24,52.824402
2017-08-25,50.172298
2017-08-26,51.165798
2017-08-27,51.804798
2017-08-28,61.3634
2017-08-29,62.3946
2017-08-30,63.163799
2017-08-31,64.158203
2017-09-01,70.856102
2017-09-02,85.829903
2017-09-03,78.979897
2017-09-04,76.732101
2017-09-05,65.251297
2017-09-06,71.777298
2017-09-07,79.877998
2017-09-08,78.452797
2017-09-09,67.2127
2017-09-10,65.802803
2017-09-11,61.646599
2017-09-12,66.2388
2017-09-13,64.321602
2017-09-14,61.6422
2017-09-15,41.685001
2017-09-16,48.1334
2017-09-17,48.2304
2017-09-18,48.530201
2017-09-19,55.683601
2017-09-20,52.7449
2017-09-21,51.663601
2017-09-22,46.652699
2017-09-23,48.157101
2017-09-24,49.250099
2017-09-25,47.6199
2017-09-26,51.687901
2017-09-27,51.576199
2017-09-28,56.2122
2017-09-29,54.109299
2017-09-30,52.626499
2017-10-01,55.1362
2017-10-02,54.546902
2017-10-03,53.3904
2017-10-04,52.284302
2017-10-05,51.401402
2017-10-06,51.636002
2017-10-07,52.137501
2017-10-08,52.4935
2017-10-09,53.0825
2017-10-10,50.154202
2017-10-11,50.7533
2017-10-12,50.8867
2017-10-13,60.551899
2017-10-14,59.405602
2017-10-15,64.126602
2017-10-16,65.7183
2017-10-17,64.673203
2017-10-18,59.586899
2017-10-19,60.8218
2017-10-20,59.809799
2017-10-21,60.303799
2017-10-22,58.2719
2017-10-23,56.770699
2017-10-24,54.959499
2017-10-25,55.951698
2017-10-26,56.468601
2017-10-27,55.6731
2017-10-28,55.3843
2017-10-29,54.6698
2017-10-30,56.840199
2017-10-31,56.365002
2017-11-01,55.7407
2017-11-02,53.5592
2017-11-03,54.578201
2017-11-04,56.2159
2017-11-05,55.0257
2017-11-06,54.759201
2017-11-07,54.987701
2017-11-08,61.112999
2017-11-09,62.489601
2017-11-10,64.436203
2017-11-11,59.3489
2017-11-12,62.3092
2017-11-13,59.1758
2017-11-14,61.642899
2017-11-15,62.7752
2017-11-16,63.809101
2017-11-17,70.448402
2017-11-18,67.405197
2017-11-19,69.511902
2017-11-20,71.413002
2017-11-21,72.1968
2017-11-22,70.182198
2017-11-23,71.975098
2017-11-24,73.141899
2017-11-25,77.908699
2017-11-26,88.939301
2017-11-27,85.889702
2017-11-28,91.723999
2017-11-29,96.012497
2017-11-30,86.246696
2017-12-01,88.003502
2017-12-02,98.941498
2017-12-03,100.195
2017-12-04,101.396004
2017-12-05,104.277
2017-12-06,102.477997
2017-12-07,99.9841
2017-12-08,98.328102
2017-12-09,127.478996
2017-12-10,155.626999
2017-12-11,148.257996
2017-12-12,212.464005
2017-12-13,315.362
2017-12-14,301.197998
2017-12-15,280.967987
2017-12-16,299.337006
2017-12-17,301.783997
2017-12-18,318.953003
2017-12-19,359.125
2017-12-20,349.604004
2017-12-21,314.660004
2017-12-22,319.256989
2017-12-23,269.266998
2017-12-24,291.007996
2017-12-25,277.493988
2017-12-26,273.108002
2017-12-27,286.588989
2017-12-28,272.126007
2017-12-29,250.352005
2017-12-30,245.087006
2017-12-31,216.975006
2018-01-01,231.666
2018-01-02,228.990005
2018-01-03,255.695007
2018-01-04,245.475006
2018-01-05,241.033997
2018-01-06,249.768005
2018-01-07,296.053009
2018-01-08,287.725006
2018-01-09,254.606003
2018-01-10,248.072998
2018-01-11,251.522003
2018-01-12,229.787003
2018-01-13,236.882004
2018-01-14,260.57901
2018-01-15,237.289001
2018-01-16,232.817001
2018-01-17,190.145004
2018-01-18,186.949005
2018-01-19,191.192001
2018-01-20,194.378006
2018-01-21,211.235001
2018-01-22,191.789993
2018-01-23,180.279007
2018-01-24,178.425003
2018-01-25,181.563004
2018-01-26,179.819
2018-01-27,176.660995
2018-01-28,181.421005
2018-01-29,193.751007
2018-01-30,181.445007
2018-01-31,165.296005
2018-02-01,163.682007
2018-02-02,142.561996
2018-02-03,131.401001
2018-02-04,160.380997
2018-02-05,148.727005
2018-02-06,127.521004
2018-02-07,142.481995
2018-02-08,138.335999
2018-02-09,149.729996
2018-02-10,163.488007
2018-02-11,155.391998
2018-02-12,150.104004
2018-02-13,161.774994
2018-02-14,159.578995
2018-02-15,212.347
2018-02-16,225.5
2018-02-17,229.501999
2018-02-18,230.509003
2018-02-19,215.414993
2018-02-20,223.087006
2018-02-21,230.947998
2018-02-22,212.841003
2018-02-23,194.192993
2018-02-24,210.636993
2018-02-25,208.132004
2018-02-26,222.138
2018-02-27,221.710007
2018-02-28,217.279007
2018-03-01,203.119003
2018-03-02,209.554993
2018-03-03,213.837997
2018-03-04,210.235992
2018-03-05,213.740005
2018-03-06,210.513
2018-03-07,196.826004
2018-03-08,185.697998
2018-03-09,176.481003
